County,Poverty_Rate_Pct,Poverty_Data_Year,Poverty_Source,Uninsured_Rate_Under65_Pct,Uninsured_Data_Year,Uninsured_Source,Frequent_Mental_Distress_Pct,FMD_Data_Year,FMD_Source,Unemployment_Rate_Pct,Unemployment_Data_Year,Unemployment_Source,MH_Providers_per_100k,MH_Providers_Data_Year,MH_Providers_Source,Licensed_MH_Facilities_Count,Facilities_Source,Facilities_Status,MHPSA_Designation_Status,HPSA_Status_Notes,HPSA_Source,Psych_Beds_per_100k,Psych_Beds_Is_State_Substitute,Psych_Beds_Data_Year,Psych_Beds_Source
Fulton,11.3,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),10.1,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),15.3,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,3.4,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,352,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for Fulton,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
DeKalb,12.7,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),13.4,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),16.0,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,3.4,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,400,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for DeKalb,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
Gwinnett,10.4,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),16.8,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),15.5,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,3.1,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,159,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for Gwinnett,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
Cobb,8.7,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),11.8,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),15.3,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,3.1,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,258,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for Cobb,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
Clayton,17.4,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),15.8,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),19.0,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,4.2,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,82,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for Clayton,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
Cherokee,6.8,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),11.7,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),16.8,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,2.8,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,129,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for Cherokee,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
Henry,8.2,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),10.1,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),17.2,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,3.7,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,184,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for Henry,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
Douglas,10.7,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),12.3,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),17.4,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,3.6,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,150,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for Douglas,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
Fayette,5.8,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),8.6,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),15.3,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,3.2,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,281,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for Fayette,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
Rockdale,11.8,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),13.6,2020-2024,US Census Bureau QuickFacts (ACS 5-Year Estimates),18.0,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025,3.9,2026-03,Georgia Dept. of Labor County Labor Profile / BLS LAUS,209,2025-2026,County Health Rankings & Roadmaps 2025 (CMS NPPES provider counts),NOT VERIFIED,SAMHSA Treatment Locator / GA DBHDD Provider Directory,PENDING - requires manual lookup at findtreatment.samhsa.gov or dbhdd.georgia.gov,NOT VERIFIED FOR THIS COUNTY,Statewide: 150 of 159 GA counties carry a Mental Health HPSA geographic/catchment designation as of Dec 2022 (151/159 reported Dec 2025); county-specific status (full/partial/population-group/none) not confirmed for Rockdale,HRSA Find Shortage Areas tool / GA DCH MHPSA map (Dec 2022),21.78,TRUE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024) - Georgia statewide figure applied to all counties
Georgia (state average),12.6,2024,US Census Bureau (ACS),15.0,2025,County Health Rankings & Roadmaps 2025 state avg,19.4,2022-2023,CDC PLACES via County Health Rankings & Roadmaps 2025 state avg,3.3,2026-03,Georgia Dept. of Labor / BLS LAUS,,,,,,,150 of 159 counties designated,See MHPSA notes above,HRSA / GA DCH MHPSA map (Dec 2022),21.78,FALSE,2024,KFF State Health Facts (analysis of SAMHSA N-SUMHSS 2024)
