County,MH_Providers_per_100k,Licensed_MH_Facilities_Count,Psych_Beds_per_100k,MHPSA_Designation_Status
Clayton,82.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
Rockdale,209.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
Douglas,150.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
Gwinnett,159.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
Henry,184.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
DeKalb,400.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
Cherokee,129.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
Cobb,258.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
Fulton,352.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
Fayette,281.0,NOT VERIFIED,21.78,NOT VERIFIED FOR THIS COUNTY
