County,Poverty_Rate_Pct,Uninsured_Rate_Under65_Pct,Frequent_Mental_Distress_Pct,Unemployment_Rate_Pct,MH_Providers_per_100k,MHI_Score_0to100,Rank
Clayton,17.4,15.8,19.0,4.2,82.0,97.6,1
Rockdale,11.8,13.6,18.0,3.9,209.0,64.9,2
Douglas,10.7,12.3,17.4,3.6,150.0,56.0,3
Gwinnett,10.4,16.8,15.5,3.1,159.0,48.5,4
Henry,8.2,10.1,17.2,3.7,184.0,44.5,5
DeKalb,12.7,13.4,16.0,3.4,400.0,36.0,6
Cherokee,6.8,11.7,16.8,2.8,129.0,34.4,7
Cobb,8.7,11.8,15.3,3.1,258.0,26.0,8
Fulton,11.3,10.1,15.3,3.4,352.0,24.7,9
Fayette,5.8,8.6,15.3,3.2,281.0,13.2,10
