Priority_Rank,County,Need_Score,MH_Providers_per_100k,MHI_Score_0to100,Priority_Gap
1,Clayton,14.100000000000001,82.0,97.6,3.4603405319365734
2,Gwinnett,11.450000000000001,159.0,48.5,1.0656588148055803
3,Douglas,11.0,150.0,56.0,0.8769421591354838
4,Rockdale,11.825,209.0,64.9,0.8033658655514161
5,Cherokee,9.524999999999999,129.0,34.4,0.1744595330876535
6,Henry,9.8,184.0,44.5,-0.19887392847409086
7,Cobb,9.725,258.0,26.0,-0.9756570711939976
8,DeKalb,11.375,400.0,36.0,-1.3597358676680567
9,Fulton,10.025,352.0,24.7,-1.7185754015356594
10,Fayette,8.225,281.0,13.2,-2.127924635644902
